Municipio,Codigo,Año,Total suscriptores urbanos,Suscriptores  urbano estrato 01,Suscriptores  urbano estrato 02,Suscriptores urbano estrato 03,Suscriptores urbano estrato 04,Suscriptores  urbano estrato 05,Suscriptores urbano estrato 06,Suscriptores urbano industrial,Suscriptores urbano  comercial,Suscriptores urbano oficial,Suscriptores urbano alumbrado publico,Consumo promedio urbano estrato 01,Consumo promedio urbano estrato 02,Consumo promedio urbano estrato 03,Consumo promedio urbano estrato 04,Consumo promedio urbano estrato 05,Consumo promedio urbano estrato 06,Consumo promedio urbano industrial,Consumo promedio urbano comercial,Consumo promedio urbano oficial,Consumo promedio urbano alumbrado publico,Consumo total urbano estrato 01,Consumo total urbano estrato 02,Consumo total urbano estrato 03,Consumo total urbano estrato 04,Consumo total urbano estrato 05,Consumo total urbano estrato 06,Consumo total urbano industrial,Consumo total urbano comercial,Consumo total urbano oficial,Consumo total urbano alumbrado publico,# Suscriptores rurales,Suscriptores rural estrato 01,Suscriptores  rural estrato 02,Suscriptores  rural estrato 03,Suscriptores rural estrato 04,Suscriptores rural estrato 05,Suscriptores rural estrato 06,Suscriptores rural industrial,Suscriptores rural comercial,Suscriptores rural oficial,Suscriptores rural alumbrado publico,Consumo promedio rural estrato 01,Consumo promedio rural estrato 02,Consumo promedio rural estrato 03,Consumo promedio rural estrato 04,Consumo promedio rural estrato 05,Consumo promedio rural estrato 06,Consumo promedio rural industrial,Consumo promedio rural comercial,Consumo promedio rural oficial,Consumo promedio rural alumbrado publico,Consumo total rural estrato 01,Consumo total rural estrato 02,Consumo total rural estrato 03,Consumo total rural estrato 04,Consumo total rural estrato 05,Consumo total rural estrato 06,Consumo total rural industrial,Consumo total rural comercial,Consumo total rural oficial,Consumo total rural alumbrado publico,Porcentaje cobertuta municipio
Almaguer,19022,2012,586,517,13,0,0,0,0,5,9,17,25,807.7872340425532,799.3076923076923,0,0,0,0,16674.2,2572.11,4500.76,3840.68,417626,10391,0,0,0,0,83371,23149,76513,96017,3540.0,3477,32,0,0,0,0,0,5,26,0,375.7437446074202,301.03125,0,0,0,0,0,1225,1185.5384615384614,0,1306461,9633,0,0,0,0,0,6125,30824,0,0.0
Almaguer,19022,2013,603,527,12,0,2,0,0,5,13,21,23,810.1385199240987,856.25,0,143.5,0,0,17166.2,2371.4615384615386,5477.952380952381,3914.521739130435,426943,10275,0,287,0,0,85831,30829,115037,90034,3678.0,3608,32,0,0,0,0,0,6,32,0,641.5612527716186,609.125,0,0,0,0,0,1257.5,925.6875,0,2314753,19492,0,0,0,0,0,7545,29622,0,0.83
Almaguer,19022,2014,598,529,10,0,1,0,0,5,12,18,23,722.359168241966,705.8,0,77,0,0,15441,1887.5,3625.277777777778,3867.782608695652,382128,7058,0,77,0,0,77205,22650,65255,88959,3809.0,3736,32,0,0,0,0,0,4,37,0,797.6142933618844,752.9375,0,0,0,0,0,1973,815.8108108108108,0,2979887,24094,0,0,0,0,0,7892,30185,0,0.834
Almaguer,19022,2015,599,530,10,0,0,0,0,5,13,18,23,950.688679245283,904.9,0,0,0,0,16713.4,2182.153846153846,3594.6666666666665,3849.4347826086955,503865,9049,0,0,0,0,83567,28368,64704,88537,3910.0,3835,32,0,0,0,0,0,4,39,0,835.2331160365059,810.9375,0,0,0,0,0,2223.75,955.1538461538462,0,3203119,25950,0,0,0,0,0,8895,37251,0,0.855
Almaguer,19022,2016,623,551,11,0,0,0,0,5,15,18,23,1032.3049001814882,963,0,0,0,0,18259.4,2198.6666666666665,4551.166666666667,2941.3478260869565,568800,10593,0,0,0,0,91297,32980,81921,67651,3952.0,3873,32,0,0,0,0,0,4,42,1,825.571133488252,784.6875,0,0,0,0,0,2036.75,878.2857142857143,926,3197437,25110,0,0,0,0,0,8147,36888,926,0.9
Almaguer,19022,2017,637,564,11,0,0,0,0,5,16,18,23,723.3085106382979,721.5454545454545,0,0,0,0,19827.6,1857.3125,5198.277777777777,657.9565217391304,407946,7937,0,0,0,0,99138,29717,93569,15133,4046.0,3967,32,0,0,0,0,0,5,41,1,1038.1883035039073,1008.46875,0,0,0,0,0,1692,775.5121951219512,2598,4118493,32271,0,0,0,0,0,8460,31796,2598,0.9
Argelia,19050,2012,2160,1521,462,4,0,0,0,13,127,21,12,1297.4293228139381,1280.9502164502164,1111.75,0,0,0,6935,1471.3543307086613,5098.476190476191,8769.416666666666,1418462424,289325556,2555696,0,0,0,867546902,436201734.19,62370418,58163090,3316.0,3071,194,0,0,0,0,5,15,31,0,717.222077499186,841.9329896907217,0,0,0,0,1136.6,1971.6,1300.0645161290322,0,2202589,163335,0,0,0,0,5683,29574,40302,0,0.0
Argelia,19050,2013,2104,1483,450,4,0,1,0,11,123,21,11,885.0478759271747,1323.5422222222223,1345,0,437,0,7089.090909090909,1463.780487804878,5119.476190476191,10718.272727272728,1312526,595594,5380,0,437,0,77980,180045,107509,117901,3239.0,3002,186,0,0,0,0,5,15,31,0,830.7265156562291,956.5268817204301,0,0,0,0,1165.75,1862.3333333333333,1236.032258064516,0,2493841,177914,0,0,0,0,4663,27935,38317,0,0.8
Argelia,19050,2014,2039,1429,451,4,0,0,0,11,112,21,11,1435.5311406578026,1807.6474501108648,1903.75,0,0,0,3838.7272727272725,1538.438596491228,4152.809523809524,10571.454545454546,2051374,815249,7615,0,0,0,42226,175382,87209,116286,3339.0,3099,190,1,0,0,0,3,15,31,0,1267.106485963214,1387.6368421052632,219,0,0,0,207.66666666666666,1648.3333333333333,1087.6451612903227,0,3926763,263651,219,0,0,0,623,24725,33717,0,0.81
Argelia,19050,2015,1869,1305,418,3,0,0,0,9,102,21,11,1644.2360153256705,1995.83014354067,1743,0,0,0,4577.888888888889,1679.0980392156862,5334.333333333333,10552.09090909091,2145728,834257,5229,0,0,0,41201,171268,112021,116073,3545.0,3261,219,1,0,0,0,4,28,32,0,1412.9932536031893,1546.0502283105022,3145,0,0,0,158,2552.6428571428573,1197.0625,0,4607771,338585,3145,0,0,0,632,71474,38306,0,0.81
Argelia,19050,2016,1922,1344,423,3,0,0,0,9,111,21,11,1412.001488095238,1683.4420803782507,1113.3333333333333,0,0,0,4002.3333333333335,1625,5249.380952380952,10659.181818181818,1897730,712096,3340,0,0,0,36021,180375,110237,117251,3723.0,221,1,0,0,0,0,5,29,33,0,1231.6739188826216,1515.497737556561,3067,0,0,0,1315.8,2819.689655172414,1246.7272727272727,0,4585522,334925,3067,0,0,0,6579,81771,41142,0,0.93
Argelia,19050,2017,1969,1382,422,3,0,0,0,9,121,21,11,1376.0803183791606,1502.0094786729858,937.6666666666666,0,0,0,2784.4444444444443,1558.4214876033059,5271.047619047619,14081,1901743,633848,2813,0,0,0,25060,188569,110692,154891,4642.0,4349,220,1,0,0,0,3,32,37,0,1407.6955621982065,1601.2227272727273,2743,0,0,0,304,2283.4375,1399.5135135135135,0,6122068,352269,2743,0,0,0,912,73070,51782,0,0.95
Balboa,19075,2012,645,537,0,0,0,0,0,14,67,17,10,694.4139433551198,1099.9497206703911,0,0,0,0,6490.785714285715,1886.597014925373,7308.470588235294,16266.5,637472,590673,0,0,,0,90871,126402,124244,162665,3620.0,3234,308,0,0,0,0,3,19,56,0,633.1694495980211,782.9675324675325,0,0,0,0,15991.333333333334,1192.7368421052631,924.2142857142857,0,2047670,241154,0,0,0,0,47974,22662,51756,0,0.0
Balboa,19075,2013,1600,945,535,1,0,0,1,17,73,18,10,950.3195767195767,1375.7943925233644,321,0,0,20,4489.823529411765,1833.7945205479452,7075.444444444444,18848.7,898052,736050,321,0,0,20,76327,133867,127358,188487,3662.01,3278,302,0.01,0,0,0,4,22,56,0,1065.8126906650396,1170.8476821192053,0,0,0,0,16925.25,2005.3636363636363,811.2678571428571,0,3493734,353596,0,0,0,0,67701,44118,45431,0,0.89
Balboa,19075,2014,1623,974,528,0,0,0,0,19,74,18,10,758.3757700205339,1242.751893939394,0,0,0,0,4200.368421052632,1860,6656.277777777777,18590.4,738658,656173,0,0,0,0,79807,137640,119813,185904,3830.0,3445,300,0,0,0,0,5,24,56,0,1283.6214804063861,1375.0366666666666,0,0,0,0,16527.4,1714.3333333333333,1011.2142857142857,0,4422076,412511,0,0,0,0,82637,41144,56628,0,0.92
Balboa,19075,2015,1644,997,524,0,0,0,0,18,76,19,10,1048.2126379137412,1508.4484732824428,0,0,0,0,4950.5,1783.092105263158,6137.315789473684,18556.1,1045068,790427,0,0,0,0,89109,135515,116609,185561,4025.0,3633,298,0,0,0,0,6,26,62,0,1266.178640242224,1400.493288590604,0,0,0,0,14154.166666666666,2368.5384615384614,1032.1774193548388,0,4600027,417347,0,0,0,0,84925,61582,63995,0,0.92
Balboa,19075,2016,1690,1033,530,0,0,0,0,17,81,19,10,1167.9951597289448,1557.456603773585,0,0,0,0,4897,1841.3086419753085,5302.1578947368425,18744,1206539,825452,0,0,0,0,83249,149146,100741,187440,4130.0,3736,296,0,0,0,0,6,26,66,0,1209.4159528907924,1312.4155405405406,0,0,0,0,16177.5,1852.8076923076924,1022.2424242424242,0,4518378,388475,0,0,0,0,97065,48173,67468,0,0.927
Balboa,19075,2017,1715,1059,530,0,0,0,0,17,80,19,10,738.1775259678942,1170.2377358490567,0,0,0,0,4944.705882352941,1885.9,5416.105263157895,21806.6,781730,620226,0,0,0,0,84060,150872,102906,218066,4292.0,3905,297,0,0,0,0,6,24,60,0,1376.2422535211267,1496.3939393939395,0,0,0,0,16452.333333333332,1861.7916666666667,925.95,0,5374226,444429,0,0,0,0,98714,44683,55557,0,0.95
Bolivar,19100,2012,1703,688,725,135,0,0,0,27,80,38,10,845.5639534883721,1003.08,1328.1851851851852,0,0,0,6546.7037037037035,3161.7,6933.605263157895,58773.333333333336,581748,727233,179305,0,0,0,176761,252936,263477,176320,7586.0,7138,325,0,1,0,0,5,18,99,0,459.0029420005604,500.88615384615383,0,970,0,0,2853.4,1484.9444444444443,948.3636363636364,0,3276363,162788,0,970,0,0,14267,26729,93888,0,0.0
Bolivar,19100,2013,1778,729,750,140,0,0,0,27,91,40,1,878.6570644718793,2427.456,1365.4142857142858,0,0,0,6660.2962962962965,3171.879120879121,6626.825,223734,640541,1820592,191158,0,0,0,179828,288641,265073,223734,7805.0,7356,325,0,0,0,0,4,19,101,0,742.2826264274062,795.24,0,0,0,0,4143.75,1454.7368421052631,1135.7326732673268,0,5460231,258453,0,0,0,0,16575,27640,114709,0,0.79
Bolivar,19100,2014,1797,727,748,138,0,0,0,27,115,41,1,763.2861072902339,1005.9224598930481,1344.123188405797,0,0,0,6498.37037037037,2935.1652173913044,6206.121951219512,220667,554909,752430,185489,0,0,0,175456,337544,254451,220667,8032.0,7575,329,0,0,0,0,4,26,98,0,907.5277887788778,960.6382978723404,0,0,0,0,3211.5,1027,1046.1632653061224,0,6874523,316050,0,0,0,0,12846,26702,102524,0,0.84
Bolivar,19100,2015,1762,711,720,140,0,0,0,28,121,41,1,960.9381153305204,1198.4402777777777,1489.9142857142858,0,0,0,6417.5,2929.495867768595,6427.121951219512,225145,683227,862877,208588,0,0,0,179690,354469,263512,225145,8792.0,8307,342,2,1,0,0,6,34,100,0,914.6371734681594,1103.9941520467837,227,491,0,0,2797.6666666666665,1130.9705882352941,1270.21,0,7597891,377566,454,491,0,0,16786,38453,127021,0,0.88
Bolivar,19100,2016,1795,726,726,146,0,0,0,28,126,41,2,880.6184573002755,1152.185950413223,1345.1027397260275,0,0,0,6887.785714285715,2761.0238095238096,5975.390243902439,117991.5,639329,836487,196385,0,0,0,192858,347889,244991,235983,9272.0,8751,363,1,1,0,0,7,40,109,0,916.4338932693406,1117.9779614325068,647,683,0,0,2448.285714285714,1043.675,2250.394495412844,0,8019713,405826,647,683,0,0,17138,41747,245293,0,0.95
Bolivar,19100,2017,1832,738,729,147,0,0,0,27,147,42,2,712.8672086720867,963.3319615912209,1155.9251700680272,0,0,0,6667.518518518518,2466.5671641791046,6204.333333333333,132829.5,526096,702269,169921,0,0,0,180023,330520,260582,265659,9579.0,9055,366,1,0,0,0,7,41,109,0,1106.5473219215903,1250.9863387978141,860,0,0,0,2588.8571428571427,1050.8292682926829,1386.788990825688,0,10019786,457861,860,0,0,0,18122,43084,151160,0,0.98
Buenos Aires ,19110,2012,1588.04,1086,371,0.04,1,0,0,14,80,28,8,1201.622467771639,1341.5390835579515,1118,1638,0,0,66222.28571428571,2210.0625,5408.857142857143,41056.75,1304962,497711,4472,1638,0,0,927112,176805,151448,328454,4398.0,4194,58,0,0,0,0,86,14,46,0,1067.4315689079638,1431.1896551724137,0,0,0,0,29650.174418604653,2062.8571428571427,1917.7173913043478,0,4476808,83009,0,0,0,0,2549915,28880,88215,0,0.0
Guapi,19318,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Guapi,19318,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Guapi,19318,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Buenos Aires ,19110,2013,1664,1162,381,5,0,0,0,14,81,14,7,1391.5447504302927,1544.9685039370079,1241.2,0,0,0,77125.78571428571,2579.1234567901233,5084.555555555556,39801.28571428572,1616975,588633,6206,0,0,0,1079761,208909,137283,278609,4940.0,4686,58,0,2,0,0,122,18,54,0,1235.9383269312846,1415.1206896551723,0,837,0,0,35635.5,1638.4444444444443,1694.0185185185185,0,5791607,82077,0,1674,0,0,4347531,29492,91477,0,0.9
Buenos Aires ,19110,2014,1640,1124,371,5,0,0,0,22,84,27,7,1447.670818505338,1593.4582210242588,1294.8,0,0,0,113005.59090909091,2513.845238095238,5665.37037037037,19261.714285714286,1627182,591173,6474,0,0,0,2486123,211163,152965,134832,5279.0,5008,63,0,0,0,0,128,21,59,0,1261.7961261980831,1608.2222222222222,0,0,0,0,37866.4296875,619.047619047619,1412.8813559322034,0,6319075,101318,0,0,0,0,4846903,13000,83360,0,0.91
Buenos Aires ,19110,2015,1664,1143,370,5,0,0,0,22,90,27,7,1737.3412073490813,1873.5027027027027,1510.8,0,0,0,111210.68181818182,2425.866666666667,5915.444444444444,15273.57142857143,1985781,693196,7554,0,0,0,2446635,218328,159717,106915,5382.0,5105,63,0,2,0,0,130,22,60,0,1649.6495592556316,1973.2857142857142,0,1652.5,0,0,32125.33846153846,621.6363636363636,1681.5833333333333,0,8421461,124317,0,3305,0,0,4176294,13676,100895,0,0.91
Buenos Aires ,19110,2016,1652,1140,361,6,0,0,0,21,90,27,7,1363.8166666666666,1593.759002770083,1511.6666666666667,0,0,0,16551.95238095238,2200.9222222222224,6246.555555555556,14622.285714285714,1554751,575347,9070,0,0,0,347591,198083,168657,102356,5271.0,4999,59,0,2,0,0,136,21,54,0,1215.7755551110222,1857,0,3237,0,0,43108.08823529412,907.6190476190476,1521.2962962962963,0,6077662,109563,0,6474,0,0,5862700,19060,82150,0,0.93
Guapi,19318,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Guapi,19318,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Buenos Aires ,19110,2017,1662,1152,357,9,0,0,0,19,91,27,7,1295.2743055555557,1492.3053221288515,1601.6666666666667,0,0,0,9547.947368421053,2249.21978021978,5363.888888888889,14582.42857142857,1492156,532753,14415,0,0,0,181411,204679,144825,102077,5487.0,5215,57,0,2,0,0,143,20,50,0,1304.740364333653,1886.842105263158,0,2708,0,0,25075.482517482516,869.35,1527.7,0,6804221,107550,0,5416,0,0,3585794,17387,76385,0,0.954
Cajibio,19130,2012,652,272,310,1,0,0,0,9,32,17,11,886.2058823529412,1179.1870967741936,3366,0,0,0,26716.88888888889,2090,5385.235294117647,22440.272727272728,241048,365548,3366,0,0,0,240452,66880,91549,246843,7027.0,6282,575,22,2,0,0,13,52,81,0,561.8193250557148,884.6747826086956,2503.5454545454545,1834,0,0,26979,1574.5576923076924,1433.2716049382716,0,3529349,508688,55078,3668,0,0,350727,81877,116095,0,0.0
Cajibio,19130,2013,698,310,316,1,0,0,1,8,35,18,9,848.0935483870968,1227.51582278481,2544,0,0,600,10815.25,2274.285714285714,5467.166666666667,33272.555555555555,262909,387895,2544,0,0,600,86522,79600,98409,299453,7320.0,6562,584,22,2,1,0,13,53,83,0,627.6200853398354,1058.7174657534247,2563.9545454545455,2142.5,359,0,37515.61538461538,1795.9433962264152,1412.9638554216867,0,4118443,618291,56407,4285,359,0,487703,95185,117276,0,0.73
Cajibio,19130,2014,715,326,315,2,0,0,0,9,36,18,9,829.9110429447853,1189.2444444444445,1180,0,0,0,15487.555555555555,2095.6944444444443,5899.555555555556,26829.222222222223,270551,374612,2360,0,0,0,139388,75445,106192,241463,7723.0,6973,573,24,1,0,0,15,56,81,0,641.4417037143266,1100.8970331588132,2679.0833333333335,2918,0,0,36188.86666666667,1905.4107142857142,1686.4197530864199,0,4472773,630814,64298,2918,0,0,542833,106703,136600,0,0.78
Cajibio,19130,2015,767,367,322,3,0,0,0,11,36,19,9,802.2397820163487,1216.9658385093169,877,0,0,0,17257.363636363636,2049.027777777778,6595.631578947368,27114.222222222223,294422,391863,2631,0,0,0,189831,73765,125317,244028,8337.0,7574,581,24,1,1,0,14,58,84,0,615.8216266173753,1113.1996557659209,2589.7083333333335,3886,290,0,40310.78571428572,1989.8275862068965,1590.095238095238,0,4664233,646769,62153,3886,290,0,564351,115410,133568,0,0.78
Cajibio,19130,2016,797,386,335,3,0,0,0,9,36,19,9,810.7046632124352,1226.0955223880596,1766.6666666666667,0,0,0,18073.444444444445,1849.4166666666667,6435.263157894737,27720.333333333332,312932,410742,5300,0,0,0,162661,66579,122270,249483,8680.0,7896,594,25,2,1,0,16,60,86,0,589.9859422492401,1084.5555555555557,2411.48,2169,600,0,43881.1875,2207.6666666666665,1636.4883720930231,0,4658529,644226,60287,4338,600,0,702099,132460,140738,0,0.84
Cajibio,19130,2017,822,402,339,3,0,0,0,10,39,20,9,855.4253731343283,1267.0324483775812,1679.3333333333333,0,0,0,16886.1,2050.076923076923,6116.35,30575.444444444445,343881,429524,5038,0,0,0,168861,79953,122327,275179,9468.0,8662,608,24,2,1,0,16,67,88,0,724.3882475178942,1192.6134868421052,2778.0416666666665,2482.5,700,0,51677.933333333334,2483.208955223881,1696.0568181818182,0,6274651,725109,66673,4965,700,0,775169,166375,149253,0,0.85
Caldono,19137,2012,1053,717,247,6,0,0,0,7,42,30,4,896.5006973500697,1119.3886639676114,1388,0,0,0,10580.857142857143,2563.6428571428573,4168.766666666666,9564,642791,276489,8328,0,0,0,74066,107673,125063,38256,4568.0,4355,88,1,0,0,0,9,36,79,0,736.9974741676234,869.6022727272727,232,0,0,0,9359.111111111111,785.8888888888889,2698.3037974683543,0,3209624,76525,232,0,0,0,84232,28292,213166,0,0.0
Caldono,19137,2013,1111,767,251,6,0,0,0,7,49,27,4,1417.0260756192959,1587.768924302789,1623.3333333333333,0,0,0,8737.142857142857,2514.31914893617,4375.586206896552,13028,1086859,398530,9740,0,0,0,61160,118173,126892,52112,4928.0,4696,104,1,0,0,0,8,36,83,0,1218.4171635434411,1296.0384615384614,809,0,0,0,13978.625,975.6666666666666,2655.4819277108436,0,5721687,134788,809,0,0,0,111829,35124,220405,0,0.69
Caldono,19137,2014,1125,784,244,6,0,0,0,7,50,30,4,1669.1173469387754,1533.6434426229507,1374.6666666666667,0,0,0,10296.285714285714,2620.24,4462.5,12850.5,1308588,374209,8248,0,0,0,72074,131012,133875,51402,5117.0,4910,81,1,0,0,0,9,36,80,0,1696.7959266802443,1793.3456790123457,1341,0,0,0,12262.777777777777,999.5,2462.3,0,8331268,145261,1341,0,0,0,110365,35982,196984,0,0.69
Caldono,19137,2015,1138,801,239,4,0,0,0,8,52,30,4,1932.541822721598,1953.7489539748954,4161.25,0,0,0,8724,2273.8653846153848,4904.033333333334,12826.5,1547966,466946,16645,0,0,0,69792,118241,147121,51306,6101.0,5841,107,1,1,0,0,12,47,92,0,1801.336414997432,2056.88785046729,1430,12,0,0,11881.583333333334,1382,2019.6304347826087,0,10521606,220087,1430,12,0,0,142579,64954,185806,0,0.74
Caldono,19137,2016,1287,940,244,4,0,0,0,9,54,32,4,1999.094680851064,2063.47131147541,3856.75,0,0,0,5569.666666666667,2400.706896551724,4536.34375,12956.25,1879149,503487,15427,0,0,0,50127,139241,145163,51825,7012.0,6730,130,1,1,0,0,15,53,82,0,1832.105646359584,2112.007692307692,1560,4,0,0,10430.6,1813.5471698113208,2339.0853658536585,0,12330071,274561,1560,4,0,0,156459,96118,191805,0,0.76
Caldono,19137,2017,1325,969,248,3,0,0,0,9,60,32,4,1772.6501547987616,1557.100806451613,5005.666666666667,0,0,0,5857.222222222223,2328.55,4010.09375,12920.75,1717698,386161,15017,0,0,0,52715,139713,128323,51683,7363.0,7072,132,1,1,0,0,16,56,85,0,1933.158512443439,2126.621212121212,1755,2,0,0,10026.375,2342.6071428571427,2448.6117647058823,0,13671297,280714,1755,2,0,0,160422,131186,208132,0,0.794
